match,winner,loser
Team GrqBIOA vs Team XpiFjKz,Team GrqBIOA,Team XpiFjKz
Team ZFYRdfl vs Team zeNgyHB,Team ZFYRdfl,Team zeNgyHB
Team ZFYRdfl vs Team IozDjEH,Team IozDjEH,Team ZFYRdfl
Team xxCYTZJ vs Team NxbxepJ,Team NxbxepJ,Team xxCYTZJ
Team gLDKnRu vs Team YwJmoRM,Team YwJmoRM,Team gLDKnRu
Team ZFYRdfl vs Team hTrTWxw,Team ZFYRdfl,Team hTrTWxw
Team YwJmoRM vs Team NxbxepJ,Team NxbxepJ,Team YwJmoRM
Team zeNgyHB vs Team gLDKnRu,Team zeNgyHB,Team gLDKnRu
Team OLXVBhy vs Team hTrTWxw,Team hTrTWxw,Team OLXVBhy
Team PuLTlMy vs Team YwJmoRM,Team YwJmoRM,Team PuLTlMy
Team ZFYRdfl vs Team GrqBIOA,Team ZFYRdfl,Team GrqBIOA
Team GrqBIOA vs Team MBDVTIo,Team MBDVTIo,Team GrqBIOA
Team IozDjEH vs Team MBDVTIo,Team MBDVTIo,Team IozDjEH
Team xxCYTZJ vs Team nzKEuQx,Team xxCYTZJ,Team nzKEuQx
Team OLXVBhy vs Team yXCeCXj,Team yXCeCXj,Team OLXVBhy
Team gLDKnRu vs Team GrqBIOA,Team GrqBIOA,Team gLDKnRu
Team GrqBIOA vs Team hTrTWxw,Team GrqBIOA,Team hTrTWxw
Team PuLTlMy vs Team nzKEuQx,Team PuLTlMy,Team nzKEuQx
Team ZFYRdfl vs Team XpiFjKz,Team ZFYRdfl,Team XpiFjKz
Team IozDjEH vs Team xxCYTZJ,Team IozDjEH,Team xxCYTZJ
Team zeNgyHB vs Team GrqBIOA,Team zeNgyHB,Team GrqBIOA
Team avkZKsF vs Team hTrTWxw,Team hTrTWxw,Team avkZKsF
Team TTNLOjb vs Team YwJmoRM,Team YwJmoRM,Team TTNLOjb
Team clXHhqJ vs Team GrqBIOA,Team GrqBIOA,Team clXHhqJ
Team ZFYRdfl vs Team PuLTlMy,Team ZFYRdfl,Team PuLTlMy
Team xxCYTZJ vs Team hTrTWxw,Team hTrTWxw,Team xxCYTZJ
Team ZFYRdfl vs Team OLXVBhy,Team ZFYRdfl,Team OLXVBhy
